Muni	How to behave to become a Sage 	Sutta Nipata 1:1–3, 1:5, 1:12, 2:6, 2:11, 2:13, 3:4–5, 3:9, 3:11, 4:6–7, 4:9–10, 4:14–16, 5:1–2, 5:7, 5:9	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	accurate and readable version rendering the verses in a style that is more uplifting	Meaning, root meaning of words same order of lines	free verse,  fewest distortions in meaning, poetic energy Thai	Poetic aesthetics  capture the subtlety of the Pali language	Impact on the mind and practical application 	 	 
16	4.14 Tuvaṭaka Quick Way	na ca katthitā siyā bhikkhu na ca vācaṃ payuttaṃ bhāseyya pāgabbhiyaṃ na sikkheyya kathaṃ viggāhikaṃ na kathayeyya	A mendicant would be no boaster, nor would they speak suggestively. They wouldn’t train in impudence, nor speak argumentatively.	“A bhikkhu should not be boastful, and he should not utter insinuating speech. He should not train himself in impudence; he should not utter contentious talk.	A monk should not be a boaster and not speak hintingly. He should not train in recklessness and not speak quarrelsome speech.	A monk shouldn’t boast or speak with ulterior motive, shouldn’t train in insolence or speak quarrelsome words;	A bhikkhu would not be boastful, Nor speak with an ulterior motive; He would not practice impudence, Nor say things that were argumentative.		930	
17	4.14 Tuvaṭaka Quick Way	mosavajje na nīyetha sampajāno saṭhāni na kayirā atha jīvitena paññāya sīlabbatena nāññamatimaññe	They wouldn’t be led into lying, nor be deliberately devious. And they’d never look down on another because of livelihood, wisdom, or precepts and vows.	“He should not be led into false speech, nor should he deliberately do anything deceptive.  Because of his way of life, his wisdom, or his good behavior and observances, he should not despise another.	He should not be led by falsehood and in awareness he should not act in a deceitful manner. Then on account of life and wisdom and virtue and practice he should not despise another.	shouldn’t engage in lies or knowingly cheat; shouldn’t despise others for their life, discernment, habits, or practices.	He would not be carried away by lies, Nor deliberately betray anyone; Nor would he look down on anyone for their Way of life, intelligence, virtue, or vows.		931	
18	4.14 Tuvaṭaka Quick Way	sutvā rusito bahuṃ vācaṃ samaṇānaṃ vā puthujanānaṃ pharusena ne na paṭivajjā na hi santo paṭisenikaronti	Though provoked from hearing much talk from ascetics saying all different things,  they wouldn’t react harshly, for the virtuous do not retaliate	“When provoked, having heard many words from ascetics who speak profusely, he should not respond to them harshly, for the good do not retaliate.	Provoked after hearing much talk, from recluses as well as from common people, he should not counter them with harsh speech, for the good do not retaliate.	Annoyed on hearing many words from contemplatives or ordinary people, he shouldn’t respond harshly, for those who retaliate aren’t calm.	Even if provoked by different sayings, Of ascetics or of ordinary people, He would not answer harshly, For good people make no enemies.		932	
19	4.14 Tuvaṭaka Quick Way	etañca dhammamaññāya vicinaṃ bhikkhu sadā sato sikkhe santīti nibbutiṃ ñatvā sāsane gotamassa na pamajjeyya	Having understood this teaching, inquiring, a mendicant would always train mindfully. Knowing extinguishment as peace, they’d not be negligent in Gotama’s bidding.	“Having understood this Dhamma, investigating, a bhikkhu should always train mindfully. Having known quenching as peace, he should not be heedless in Gotama’s teaching.	Knowing that this is the Dhamma, reflecting on it a monk should always train mindfully. Knowing quenching to be “peace” he should not be negligent in Gotama’s teaching	monk inquiring should always train in it mindfully. Knowing unbinding as peace, he shouldn’t be heedless of Gotama’s message—	Fully understanding this principle, An inquiring bhikkhu would always train mindfully; Knowing quenching as peace, He would not be negligent in Gotama’s teaching.		933	
20	4.14 Tuvaṭaka Quick Way	abhibhū hi so anabhibhūto sakkhidhammamanītihamadassī tasmā hi tassa bhagavato sāsane appamatto sadā namassamanusikkheti	For he is the undefeated, the champion, seer of the truth as witness, not by hearsay— that’s why, being diligent, they would always respectfully train in the Buddha’s teaching.”	“For he is a conqueror who is himself unconquered; he saw the Dhamma as a witness, not by hearsay. Therefore, heedful in that Blessed One’s teaching, always honoring it, one should train in accordance with it.”	For he is the overcomer who is not overcome. With his own eyes he saw the Dhamma not based on hear-say. Therefore in the teaching of that Blessed one one should always train with diligence and devotion.	for he, the Conqueror unconquered, witnessed the Dhamma, not by hearsay, but directly, himself. So, heedful, you should always do homage &train in line with that Blessed One’s message,” the Blessed One said.	He overcomes, he is not overcome, Seeing the Dhamma with his own eyes, not by hearsay; Therefore he would always respectfully train in accord, Diligent in the teaching of the Buddha.		934	
1	4.15  ATTADAṆḌA Taking weapons 	attadaṇḍā bhayaṃ jātaṃ janaṃ passatha medhagaṃ saṃvegaṃ kittayissāmi yathā saṃvijitaṃ mayā	Peril stems from those who take up arms— just look at people in conflict! I shall extol how I came to be stirred with a sense of urgency.	“Fear has arisen from one who has taken up the rod: see the people engaged in strife. I will tell you of my sense of urgency, how I was stirred by a sense of urgency.	From the taking up of sticks fear arises— look at people quarrelling. I shall describe the sense of urgency in the way it was experienced by me.	“When embraced, the rod of violence1 breeds danger &fear: Look at people in strife. I will tell how I experienced terror:	Fear’s born assuming forcefulness¹⁶— see how the people fight! I’ll tell you how I’m deeply moved, how I have felt so stirred.		935	
2	4.15  ATTADAṆḌA Taking weapons 	phandamānaṃ pajaṃ disvā macche appodake yathā aññamaññehi byāruddhe disvā maṃ bhayamāvisi	I saw this population flounder, like a fish in a little puddle. Seeing them fight each other, fear came upon me.	“Having seen the population trembling like fish in a pool with little water, having seen them hostile to one another, fear came upon me.	Seeing the trembling humankind  like fish in little water mutually opposed to each other fear entered my heart.	Seeing people floundering like fish in small puddles, competing with one another— as I saw this, fear came into me. The world was entirely without substance.	Seeing how people flounder as fish in little water attacking one the other its fearfulness appeared.		936	15 pali = 16 Chinese  The stories are quite different
3	4.15  ATTADAṆḌA Taking weapons 	samantamasāro loko disā sabbā sameritā icchaṃ bhavanamattano nāddasāsiṃ anositaṃ	The world around was hollow, all directions were in turmoil. Wanting a home for myself, I saw nowhere unsettled	“The world was insubstantial all around; all the directions were in turmoil. Desiring an abode for myself, I did not see [any place] unoccupied.	All around the world was void of sense. All directions were adrift. Wanting an abode for myself I did not see any unobstructed	All the directions were knocked out of line. Wanting a haven for myself, I saw nothing that wasn’t laid claim to. 	Once I wished a place to stay, but all the world is essenceless, turmoil in every quarter, I saw no place secure.		937	
4	4.15  ATTADAṆḌA Taking weapons 	osānetveva byāruddhe disvā me aratī ahu athettha sallamaddakkhiṃ duddasaṃ hadayanissitaṃ	But even in their settlement they fight  seeing that, I grew uneasy. Then I saw a dart there, so hard to see, stuck in the heart.	“Having seen those hostile at the end, discontent came upon me. Then I saw the dart here, hard to see, nestled in the heart.	In that very obstruction they were opposed— seeing that, aversion arose in me. Then I saw the barb there, hard to see, stuck in the heart.	Seeing nothing in the end but competition, I felt discontent. And then I saw an arrow here, so very hard to see, embedded in the heart.	Folks’ never-ending enmity I saw, took no delight, but then I saw the hard-to-see, the dart within the heart.		938	
5	4.15  ATTADAṆḌA Taking weapons 	yena sallena otiṇṇo disā sabbā vidhāvati tameva sallamabbuyha na dhāvati na sīdati	When struck by that dart, you run about in all directions. But when that same dart has been plucked out, you neither run about nor sink down.	“When one is struck by that dart one runs astray in all directions. But having drawn out that dart, one does not run, does not sink.”	The barb pierced by which one runs in all directions, having pulled that barb out one does not run, one does not sink.	Overcome by this arrow you run in all directions. But simply on pulling it out you don’t run, you don’t sink.	Affected by this dart one runs in all directions but with the dart pulled out one neither runs nor sinks.		939	Nd I: “One doesn’t run” to any of the destinations of rebirth; “one doesn’t sink” into any of the four floods of sensuality, views, becoming, and ignorance. See SN 1:1, SN 45:171, and AN 4:10.
6	4.15  ATTADAṆḌA Taking weapons 	tattha sikkhānugīyanti yāni loke gadhitāni na tesu pasuto siyā nibbijjha sabbaso kāme sikkhe nibbānamattano	Whatever attachments there are in the world, don’t pursue them. Having pierced through sensual pleasures in every way, train yourself for quenching.	There the trainings are recited: “Whatever bonds there are in the world, one should not be intent on them. Having entirely pierced through sensual pleasures, one should train for one’s own nibbāna.	Whatever ties there are in the world one should not be intent on them. Having broken through sensuality completely one should train in self-quenching.	you shouldn’t be set on them. Having totally penetrated sensual pleasures, sensual passions,4 you should train for your own unbinding.	On this, the training’s chanted thus: Whatever bonds within the world¹⁷ they should not be pursued knowing in depth all sense-desires for Nirvāṇa train.		940	At this point the training rules are recited:
7	4.15  ATTADAṆḌA Taking weapons 	sacco siyā appagabbho amāyo rittapesuṇo akkodhano lobhapāpaṃ vevicchaṃ vitare muni	Be truthful, not rude, free of deceit, and rid of slander; without anger, a sage would cross over the evils of greed and avarice.	“One should be truthful, not impudent, without hypocrisy, devoid of divisive speech. Without anger, a muni should cross over the evil of greed and miserliness.	One should be truthful and not reckless, without deceit, rid of slander, and without anger. The evil of greed and the wish for variety a Muni should cross over.	Be truthful, not insolent, not deceptive, remote from divisiveness. Without anger, the sage should cross over the evil of greed &avarice.	Truthful and not arrogant, deceit none, slander, hate, rid of greed’s evil, avarice beyond them all’s the sage.		941	
8	4.15  ATTADAṆḌA Taking weapons 	niddaṃ tandiṃ sahe thīnaṃ pamādena na saṃvase atimāne na tiṭṭheyya nibbānamanaso naro	Prevail over sleepiness, sloth, and drowsiness, don’t abide in negligence, A person intent on quenching would not stand for arrogance.	“One should vanquish sleepiness, torpor, and dullness; one should not keep company with heedlessness. A person whose mind is set on nibbāna should not persist in arrogance.	Sleep, lassitude and sluggishness he should overcome. He should live without negligence. A man should not stay with arrogance if his mind is set upon quenching.	He should conquer drowsiness, weariness, sloth; shouldn’t consort with heedlessness, shouldn’t stand firm in his pride— the man with his heart set on unbinding.	Not sleepy, drowsy, slothful not, living not with negligence, taking no stand on arrogance: that mind inclines to Nibbana.		942	
9	4.15  ATTADAṆḌA Taking weapons 	mosavajje na nīyetha rūpe snehaṃ na kubbaye mānañca parijāneyya sāhasā virato care	Don’t be led into lying, or get caught up in fondness for form. Completely understand conceit, and desist from hasty conduct.	“One should not be led into false speech; one should not engender affection for form. One should fully understand conceit, and one should refrain from rashness.	He should not be led into falsehood. He should not have affection for form. Conceit he should completely know and fare restrained from violence.	He shouldn’t engage in lying, shouldn’t create affection for form, should fully fathom conceit, and live refraining from impulsiveness;	Be not into lying led, for forms have no affection, know thoroughly conceit, violence avoid fare thus.		943	
10	4.15  ATTADAṆḌA Taking weapons 	purāṇaṃ nābhinandeyya nave khantiṃ na kubbaye hiyyamāne na soceyya ākāsaṃ na sito siyā	Don’t relish the old, or welcome the new. Don’t grieve for what is running out, or get attached to things that pull you in.	“One should not delight in the old; one should not form a liking for the new. One should not sorrow over what is diminishing; one should not be attached to an attraction.	He should not take delight in the old, he should not show liking for the new. When things vanish he does not grieve. He should not stay stuck to his situation.	shouldn’t delight in what’s old, prefer what’s new,5 grieve over decline, get entangled in what’s dazzling &bright.6	Delight not in the past, nor be content with newness, sad not with disappearance, nor crave for the attractive.		944	
11	4.15  ATTADAṆḌA Taking weapons 	gedhaṃ brūmi mahoghoti ājavaṃ brūmi jappanaṃ ārammaṇaṃ pakappanaṃ kāmapaṅko duraccayo	Greed, I say, is the great flood, and longing is the current— the basis, the compulsion, the swamp of sensuality so hard to get past.	“I call greed the great flood, I call longing the rapids, the basis, compulsion,219 the swamp of sensuality hard to overcome.	Greed I call the great flood; its forward flow I call yearning. The support is the forming of intentions.21 The mire of sensuality is hard to cross	I call greed a great flood; hunger, a swift current. Preoccupations are ripples; sensuality, a bog hard to cross over.	Greed I say’s “the great flood”, its torrent the rush of lust, lust’s objects an imagining, the swamp of lust is hard to cross.		945	
12	4.15  ATTADAṆḌA Taking weapons 	saccā avokkamma muni thale tiṭṭhati brāhmaṇo sabbaṃ so paṭinissajja sa ve santoti vuccati	The sage never strays from the truth; the brahman stands firm on the shore. Having given up everything, they are said to be at peace.	“Not deviating from truth, a muni, a brahmin, stands on high ground. Having relinquished all, he is indeed called peaceful.	Not deviating from truth, the Muni, the Brāhmaṇa, stands on high ground. Having relinquished everything he indeed is called “peaceful.”	Not deviating from truth, a sage stands on high ground : a brahman. Having relinquished in every way, he is said to be at peace;	The sage on firm ground stands, not swayed from truth, a paragon, having relinquished All, “peaceful” that one’s called.		946	
13	4.15  ATTADAṆḌA Taking weapons 	sa ve vidvā sa vedagū ñatvā dhammaṃ anissito sammā so loke iriyāno na pihetīdha kassaci	They have truly known, they’re a knowledge master, understanding the teaching, they are independent. They rightly proceed in the world, not coveting anything here.	“One who truly is a knower, a Veda-master, having known the Dhamma, is independent. Living rightly in the world, he does not long for anything here.	He truly is the knower, the one accomplished in knowledge, having come to know the nature of things independently. Harmoniously moving about in the world he does not envy anyone here.	having clearly known, he is an attainer-of-knowledge; knowing the Dhamma, he’s independent. Moving rightly through the world, he doesn’t envy anyone here.	The wise indeed, all wisdom won, on dharma not dependant, wanders perfected in this world, and envies none herein.		947	
14	4.15  ATTADAṆḌA Taking weapons 	yodha kāme accatari saṅgaṃ loke duraccayaṃ na so socati nājjheti chinnasoto abandhano	One who has crossed over sensuality here, the snare in the world so hard to get past, grieves not, nor hopes; they’ve cut the strings, they’re no longer bound.	“One here who has crossed over sensual pleasures, the tie so hard to overcome in the world, who has cut off the stream, without bonds, does not sorrow, does not hope.	He who has crossed beyond sensuality, the attachment to the world so hard to overcome, he neither sorrows nor broods. For he has cut across the stream and has no bonds.	Whoever here has gone beyond sensual passions— an attachment hard to transcend in the world— doesn’t sorrow, doesn’t fret. He, his stream8 cut, is free from bonds.	Who sense-desires has crossed beyond, undone worldly ties and bondless, cut across the stream, no longer grieves or broods.		948	
15	4.15  ATTADAṆḌA Taking weapons 	yaṃ pubbe taṃ visosehi pacchā te māhu kiñcanaṃ majjhe ce no gahessasi upasanto carissasi	What came before, let wither away, and after, let there be nothing. If you don’t grasp at the middle, you will live at peace.	“Dry up what pertains to the past; let there be nothing afterward. If you do not grasp in the middle, you will live in peace.	What was before—let it wither. Afterwards—let there be nothing. If you do not grasp in the middle you will fare as one who has come to peace	Burn up what’s before, and have nothing for after. If you don’t grasp at what’s in between,9 you will go about, calm.	Let what’s “before” just wither up, “after” for you be not a thing, if then “between” you will not grasp, You will fare at peace.		949	
16	4.15  ATTADAṆḌA Taking weapons 	sabbaso nāmarūpasmiṃ yassa natthi mamāyitaṃ asatā ca na socati sa ve loke na jīyati	One who has no sense of ownership in the whole realm of name and form, does not grieve for that which is not, they suffer no loss in the world.	“One who does not claim as ‘mine’ anything at all here in name-and-form, who does not sorrow over what is nonexistent, truly does not lose out in the world.	In name-and-matter entirely if there is nothing made mine for him, and he does not grieve over absence, he suffers no loss in the world.	For whom, in name-&-form, in every way, there’s no sense of mine, and who doesn’t grieve over what is not: He, in the world, isn’t defeated, suffers no loss.	For whom with mind-and-bodily forms there is no “making-mine” at all, grieves not when they are not, and suffers here no loss.		950	
17	4.15  ATTADAṆḌA Taking weapons 	yassa natthi idaṃ meti paresaṃ vāpi kiñcanaṃ mamattaṃ so asaṃvindaṃ natthi meti na socati	If you don’t think of anything as belonging to yourself or others, not finding anything to be ‘mine’, you won’t grieve, thinking ‘I don’t have it’.	“One for whom nothing is taken as ‘this is mine’ or ‘[this belongs] to others,’ not finding anything to be taken as ‘mine,’ does not sorrow, thinking: ‘It is not mine.’	For whom there is not “This is mine”, nor anything taken as “for others” He, finding nothing to call mine, does not grieve “There is not for me”.	To whom there doesn’t occur ‘This is mine,’ for whom nothing is others’: He, feeling no sense of mine-ness, doesn’t grieve at the thought ‘I have nothing.’	For whom there is no “this is mine” nor no “To others it belongs”, in whom “myself ” cannot be found, Grieves not that “I have none”.		951	
18	4.15  ATTADAṆḌA Taking weapons 	aniṭṭhurī ananugiddho anejo sabbadhī samo tamānisaṃsaṃ pabrūmi pucchito avikampinaṃ	Not bitter, not fawning, unstirred, everywhere even; when asked about one who is unshakable, I declare that that is the benefit.	“Not bitter, not greedy, without impulse, everywhere the same — when asked about one who is unshakable, I call that the benefit.	Free of harshness and not greedy he is unmoved and everywhere the same. I tell you that that is the advantage, when asked about the unshaken one	Not harsh, not greedy, not perturbed,11 everywhere concordant12: This is the reward —I say when asked—	Asked upon one unshakeable, I tell of this one’s goodness: Not harsh, not covetous at all, Steadfast, impartial everywhere.		952	
19	4.15  ATTADAṆḌA Taking weapons 	anejassa vijānato natthi kāci nisaṅkhati virato so viyārabbhā khemaṃ passati sabbadhi	For the unstirred who understand, there’s no performance of deeds. Desisting from instigation, they see sanctuary everywhere.	“For one without impulse, who understands, there is no activation at all.220 Abstaining from instigation, he sees security everywhere.	For the unmoved knowing one there is no fabrication. Abstaining from putting forth effort he sees safety everywhere.	for those who are free from theorizing. For one unperturbed —who knows— there’s no accumulating. Abstaining, unaroused, he everywhere sees security.	For one who’s steadfast, Knows,¹⁸ That one does not accumulate, Unattached to making effort, Sees security everywhere.		953	
20	4.15  ATTADAṆḌA Taking weapons 	na samesu na omesu na ussesu vadate muni santo so vītamaccharo nādeti na nirassatīti	A sage doesn’t speak of themselves as being among superiors, inferiors, or equals. Peaceful, rid of stinginess, they neither take nor reject.	“The muni does not speak of himself as among equals, inferiors, or superiors. Peaceful, without miserliness, he does not take, does not reject” — so said the Blessed One.	In terms of equality or inferiority or superiority the Muni does not speak of himself. Peaceful and free from avarice, he does not take up, he does not reject.	The sage doesn’t speak of himself as among those who are higher, equal, or lower. At peace, free of stinginess, he doesn’t embrace, doesn’t reject,” the Blessed One said.	A sage speaks not as though¹⁹ ’Mong equal, low or high, Serene, devoid of avarice, Does not accept or reject.		954	
1	4.16  SĀRIPUTTA	na me diṭṭho ito pubbe (iccāyasmā sāriputto) na suto uda kassaci evaṃ vagguvado satthā tusitā gaṇimāgato	Never before have I seen,” said Venerable Sāriputta, “or heard from anyone about a teacher of such graceful speech, come from Tusita heaven to lead a community.	“I have never before seen,” (said the Venerable Sāriputta), “nor have I ever heard it from anyone — a teacher of such lovely speech, leader of a group, who has come from Tusita,	Never before did I see or hear about from anyone such a sweet speaking teacher come here from Tusita to be the leader of a group	Sāriputta: “Never before have I seen or heard from anyone of a teacher with such lovely speech come, together with his following from Tusita heaven,	Not seen before by me, nor heard by anyone: such sweetly-spoken Teacher from Tusita came to lead a group.		955	See also: SN 35:117; SN 35:200; AN 4:28; Thag 3:8; Thag 5:8; Thag 6:2; Thag 18
2	4.16  SĀRIPUTTA	sadevakassa lokassa yathā dissati cakkhumā sabbaṃ tamaṃ vinodetvā ekova ratimajjhagā	To all the world with its gods he appears as a seer who has dispelled all darkness, and alone attained to bliss.	“as the One with Vision is seen in the world together with its devas. Having dispelled all darkness, alone, he achieved delight.	To the world with its gods as the one who has eyes appears he having dispelled all darkness arrived alone to delight.	as the One with Eyes who appears to the world with its devas, having dispelled all darkness, having arrived at delight all alone.	One by himself attained to bliss, all darkness he dispelled, so that the One-With-Eyes be seen by world together with the gods.		956	pali 16 = 14 Chinese  story is substantially the same
3	4.16  SĀRIPUTTA	taṃ buddhaṃ asitaṃ tādiṃ akuhaṃ gaṇimāgataṃ bahūnamidha baddhānaṃ atthi pañhena āgamaṃ	On behalf of the many here still bound, I have come in need with a question to that Buddha, unattached and impartial, free of deceit, come to lead a community.	“To the Buddha, unattached, impartial, not a schemer, one who has come as leader of a group, I have come in need with a question on behalf of the many here who are bound.	To that awakened one, unattached, Such-like, not deceitful, being the leader of a group, for the sake of the many here who are bound it is that I have come with a question	To that One Awakened— unentangled, Such, un- deceptive, come with his following— I have come desiring a question on behalf of the many here who are fettered:	One’s who’s “Thus”, the unattached, that Buddha undeceptive, with many disciples, devotees, for them I ask a question.		957	different Chinese 
4	4.16  SĀRIPUTTA	bhikkhuno vijigucchato bhajato rittamāsanaṃ rukkhamūlaṃ susānaṃ vā pabbatānaṃ guhāsu vā	Suppose a mendicant who loathes attachment frequents a lonely lodging— the root of a tree, a charnel ground, on mountains, or in caves.	“When a bhikkhu is repulsed and resorts to a solitary seat, to the foot of a tree or a charnel ground, or [to a seat] in mountain caves,	For a monk who is disgusted and resorts to an empty seat— the root of a tree, or a cemetery, or in caves in the mountains;	For a monk disaffected, frequenting a place remote— the root of a tree, a cemetery, in mountain caves	For a monk avoiding society, seeking out a lonely place— bone yards, at the base of trees, or caves within the mountain wastes		958	
5	4.16  SĀRIPUTTA	uccāvacesu sayanesu kīvanto tattha bheravā yehi bhikkhu na vedheyya nigghose sayanāsane	In these many different lodgings, how many dangers are there at which a mendicant in their silent lodging ought not tremble?	“to various sorts of lodgings, how many fearful things are there because of which a bhikkhu should not tremble in a lodging with little noise?	in such high and low lodgings how many are the terrors which a monk should overcome in his quiet lodging?	various places to stay— how many are the fears there at which he shouldn’t tremble —there in his noiseless abode—	Living-places high or low, How many are the terrors there, that a monk in his silent place trembles not at all?		959	
6	4.16  SĀRIPUTTA	katī parissayā loke gacchato agataṃ disaṃ ye bhikkhu abhisambhave pantamhi sayanāsane	On their journey to the untrodden place, how many adversities are there in the world that must they overcome in their remote lodging?	“How many obstacles in the world confront one going to the untraveled region,221 [obstacles] that a bhikkhu must overcome when living in a remote lodging?	How many are the difficulties in the world for one going in the direction never gone before which a monk should overcome in his remote lodging?	how many the dangers in the world for the monk going the direction he never has gone over which he should prevail there in his isolated abode?	How many are the troubles here for a monk to overcome, while living in a place remote, or going to the Ungone-Point.		960	
7	4.16  SĀRIPUTTA	kyāssa byappathayo assu kyāssassu idha gocarā kāni sīlabbatānāssu pahitattassa bhikkhuno	What ways of speech should they have? Where should they go for alms? What precepts and vows should a resolute mendicant uphold?	“What ways of speech should he adopt? On what resorts here should he rely? What should be the good behavior and observances of a bhikkhu who is resolute?	What ways of speech should there be for him? Which resorts should he have here? And what virtue and practice should there be for the monk who is well-decided?	What should be the ways of his speech? What should be his range there of action? What should be a resolute monk’s habits &practices?	What ways of speaking would be his? What place should he frequent? What sorts of rules, kinds of vows, For the monk with mind intent?		961	
8	4.16  SĀRIPUTTA	kaṃ so sikkhaṃ samādāya ekodi nipako sato kammāro rajatasseva niddhame malamattano	Having undertaken what training, unified, alert, and mindful, would they purge their own stains, like a smith smelting silver?”	“Having taken up what training, dwelling unified, judicious, mindful, should he blow away his own stains as a smith [removes the flaws] of silver?”	Having taken up what training being unified in mind, careful, mindful, would he blow away his impurities as a smith the dross of silver?	Undertaking what training — mindful, astute, alone — would he blow away his own impurities as a silver smith, those in molten silver?”	What is the training he adopts, one-pointed, mindful, wise; to blow away all blemishes, as does a smith with silver?		962	
9	4.16  SĀRIPUTTA	vijigucchamānassa yadidaṃ phāsu (sāriputtāti bhagavā) rittāsanaṃ sayanaṃ sevato ce sambodhikāmassa yathānudhammaṃ taṃ te pavakkhāmi yathā pajānaṃ	“If one who loathes attachment frequents a lonely lodging,” said the Buddha to Sāriputta, “in their search for awakening—as accords with the teaching— I shall tell you, as I understand it, what is comfortable for them.	“As one who understands I will tell you in accordance with the Dhamma, (Sāriputta,” said the Blessed One), “what is comfortable for one who is repulsed, if, wishing for enlightenment, he resorts to a solitary lodging.	If one is disgusted and resorts to an empty seat and lodging and intent on awakening—then about what will be for his ease I shall tell you according to the Dhamma as I have understood it.	The Buddha: “I will tell you as one who knows, what is comfort for one disaffected if he’s resorting to a place remote, desiring self-awakening in line with the Dhamma.	As One who Knows I’ll explain to you, what’s pleasant for you practicing avoidance,²¹ who live and who rest in a lonely abode, wishing Awakening in keeping with Dharma		963	
10	4.16  SĀRIPUTTA	pañcannaṃ dhīro bhayānaṃ na bhāye bhikkhu sato sapariyantacārī ḍaṃsādhipātānaṃ sarīsapānaṃ manussaphassānaṃ catuppadānaṃ	A wise one, a mindful mendicant living on the periphery should not be afraid of five perils: flies, mosquitoes, snakes, human contact, or four-legged creatures.	“A wise one, a mindful bhikkhu of bounded conduct, should not be afraid of five perils: gadflies and other flies, creeping serpents, encounters with people, four-footed animals,	Five fears a wise man should not fear, a monk who is mindful and fares within the limits: gadflies, mosquitoes and creeping things four-footed beasts and harassments from humans.	An enlightened monk, living circumscribed, mindful, shouldn’t fear the five fears: of horseflies, mosquitoes, snakes, human contact, four-footed beings;	Within limits the mindful monk practices, then of five fears is this wise one not afraid: March-flies and mosquitoes, of slithering snakes, of men’s assaults, and fierce four-footed beasts.		964	
11	4.16  SĀRIPUTTA	paradhammikānampi na santaseyya disvāpi tesaṃ bahubheravāni athāparāni abhisambhaveyya parissayāni kusalānuesī	Nor should they fear followers of other teachings, even having seen the many threats they pose. And then one seeking the good should overcome any other adversities.	“nor should he fear followers of other teachings, even when he sees the many fears they pose. One seeking the good should conquer any other obstacles [he encounters].	He should not be terrified by sectarians even after having seen their many terrors. And further he should overcome the obstacles, seeking what is skillful.	shouldn’t be fazed by those following another’s teaching even on seeing their manifold threats; should prevail over still other further dangers as he seeks what is skillful.	Nor be disturbed by those with differing Dharma, even having seen their many perils, further then, this seeker of the good will overcome all fearfulness too.		965	
12	4.16  SĀRIPUTTA	ātaṅkaphassena khudāya phuṭṭho sītaṃ athuṇhaṃ adhivāsayeyya so tehi phuṭṭho bahudhā anoko vīriyaṃ parakkammadaḷhaṃ kareyya	Afflicted by illness and hunger, they should endure cold and excessive heat. Though afflicted by many such things, the homeless one should exert energy, firmly striving.	“Afflicted by illness and hunger, he should endure cold and excessive heat. The homeless one, affected by these in many ways, should remain firm, exerting energy.	Contacted by the pain of disease and by hunger he should tolerate it, and also the cold and the hot. Being contacted by these in many ways, the homeless one with persisting energy should make firm.	Touched by the touch of disease, hunger, he should endure cold &inordinate heat. He with no home, in many ways touched by these things, striving, should make firm his persistence.	Afflicted by sicknesses, hunger as well, the cold and strong heat he should endure, by these many touches should he be unmoved, having energy stirred and striving with strength.		966	
13	4.16  SĀRIPUTTA	theyyaṃ na kāre na musā bhaṇeyya mettāya phasse tasathāvarāni yadāvilattaṃ manaso vijaññā kaṇhassa pakkhoti vinodayeyya	They must not steal or lie; and should touch creatures firm or frail with love. If they notice any clouding of the mind, they should dispel it as Māra’s ally.	“He should not commit theft or speak falsely; he should suffuse the frail and firm with loving-kindness. If he should recognize any blemish of the mind, he should dispel it as ‘a faction of the Dark One.’	He should not commit theft nor speak falsehood. With friendship he should touch both weak and strong creatures. Whatever stirring up of the mind he should come to know he should dispel it, thinking “It is on the Dark One’s side”.	He shouldn’t commit a theft, shouldn’t speak a lie, should touch with thoughts of goodwill beings firm &infirm. Conscious of when his mind is stirred up &turbid, he should dispel it: ‘It’s on the side of the Dark One.’	Neither should he steal, nor should he tell lies, but let love suffuse the fearful and the unafraid, and when his mind is agitated let him know “This should be removed”—it’s on the Dark One’s side		967	
14	4.16  SĀRIPUTTA	kodhātimānassa vasaṃ na gacche mūlampi tesaṃ palikhañña tiṭṭhe athappiyaṃ vā pana appiyaṃ vā addhābhavanto abhisambhaveyya	They must not fall under the sway of anger or arrogance; having dug them out by the root, they would stand firm. Then, withstanding likes and dislikes, they would overcome.	“He should not come under the control of anger and arrogance, but should dig them up by their root too. Then, withstanding the pleasing and displeasing, he should conquer them as well.	He should not go under the influence of anger and arrogance. Cutting off their very root he should stay. And then the liked and the disliked he should overcome to the full extent.	He shouldn’t come under the sway of anger or pride. Having dug up their root he would stand firm. Then, when prevailing —yes— he’d prevail over notions of dear &undear.	Into the power of anger and of arrogance he shouldn’t fall, but firm, eradicate their roots, all being attached he overcomes complete, all that is dear to him, all that repels.		968	
15	4.16  SĀRIPUTTA	paññaṃ purakkhatvā kalyāṇapīti vikkhambhaye tāni parissayāni aratiṃ sahetha sayanamhi pante caturo sahetha paridevadhamme	Putting wisdom in the foremost place, rejoicing in goodness, they would put an end to those adversities. They’d vanquish discontent in their remote lodging. And they’d vanquish the four lamentations:	“Giving precedence to wisdom, rejoicing in the good, he should suppress those obstacles. He should vanquish discontent with remote lodgings; he should vanquish the four factors of lamentation.	Putting wisdom in front, with joy for the skillful, he should push away those obstacles. He should overcome non-delight for a remote lodging. He should conquer the four lamentation-causing thoughts.	Deferring to discernment enraptured with what’s admirable, he should overcome these dangers, should conquer discontent in his isolated spot, should conquer these four thoughts of lament:	With wisdom esteemed, with joy purified, removing supports for all fearfulnesses, let him conquer dislike for his lone lodging-place, and conquer the four that cause him to lament:		969	
