Atthaka vagga 			Translators approach	Meaning, root meaning of words same order of lines	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	free verse,  fewest distortions in meaning, poetic energy Thai	accurate and readable version rendering the verses in a style that is more uplifting	Poetic aesthetics  capture the subtlety of the Pali language	Diferent approache occasionally more natural interpretations 	Impact on the mind		engaging in philosophical debates (4:3, 4:5, 4:8, 4:11–13), 	
11.6	KALAHAVIVĀDA	QUARRELS AND DISPUTES	sātaṁ asātanti yamāhu loke tamūpanissāya pahoti chando rūpesu disvā vibhavaṁ bhavañca vinicchayaṁ kubbati jantu loke	“The pleasant and the unpleasant”—as they say in the world, in dependence upon these desire arises. Seeing increase and decrease in things a person makes evaluation in the world.	“What they call pleasure and pain in the world— based on that, desire comes about. Seeing the appearance and disappearance of forms, a person forms judgments in the world.	“What they call ‘appealing’ & ‘unappealing’ in the world: In dependence on that, desire arises. Having seen becoming &not- with regard to forms, a person gives rise to decisions in the world;	“Desire originates based on what they say is ‘pleasant’ or ‘unpleasant’ in the world. Having seen the vanishing and coming-to-be of forms, a person forms a judgment in the world.	“It’s pleasant, unpleasant”, so in the world they say and depending on these arises desire, but having seen forms, their arising and decay, then a person in this world certainly deliberates.	Whatever is pleasant“ or unpleasant in this world——- Because of this there arises the pursuit of longings. Seeing how things in the world flourish and decay, The man of the world begins to have his discrimina-tions all.		867		disputes 
11.7	KALAHAVIVĀDA	QUARRELS AND DISPUTES	kodho mosavajjañca kathaṁkathā ca etepi dhammā dvayameva sante kathaṁkathī ñāṇapathāya sikkhe ñatvā pavuttā samaṇena dhammā	Anger, falsehood and doubt these things too are when there is a duality. A doubter should train in the path to knowledge, through knowledge the teachings have been proclaimed by the Samaṇa.	Anger, lies, and doubt— these things are, too, when that pair is present.  One who has doubts should train in the path of knowledge; it is from knowledge that the Ascetic speaks of these things.”	anger, lies, &perplexity: these qualities, too, when there exists that very pair. A person perplexed should train for the path of knowledge, for it’s in having known that the Contemplative has spoken of qualities/dhammas.”	“Anger, false speech, and perplexity: these things, too, arise when that dyad exists. One perplexed should train on the path of knowledge; having known, the Ascetic stated these things.”	With anger, false-speaking, also doubtfulness, and all such dharmas, this quality exists. The doubting person in the knowledge-path should train for the Samaṇa has declared dharmas after having Known.	Falsehood] that is produced from fraud . and questioning mind-These their appearance make, when this pair [of the pleasant and unpleasant] exists; The questioner may learn of Wisdom’s Path, Wishing to understand the Law by the Enlightened One taught.		868		disputes 
11.8	KALAHAVIVĀDA	QUARRELS AND DISPUTES	sātaṁ asātañca kutonidānā kismiṁ asante na bhavanti hete vibhavaṁ bhavañcāpi yametamatthaṁ etaṁ me pabrūhi yatonidānaṁ	The pleasant and the unpleasant have their origin where? When what is not, do they not come to be? And ‘increase and decrease’—the matter so called, tell me that too, from where it originates.	“Where do pleasure and pain spring from? When what is absent do these things not occur? And also, on the topic of appearance and disappearance— tell me where they spring from.”	“Where is the cause of appealing &un-? When what isn’t do they not exist? And whatever is meant by becoming &not- : Tell me, Where is their cause?”	“From what do the pleasant and unpleasant originate? When what does not exist do these not come to be? As to this matter of vanishing and coming-to-be, tell me from what it originates.”	The pleasant, the unpleasant, originate from what? In the absence of what do these cease to be? That which is being,¹¹ non-being as well, what their origination, do tell me of this?	The pleasant and unpleasant—from what do they arise? How will they disappear, of their supporters being bereaved? Their appearance and disappearance, which are the highest matter, I beg of you to make me understand their fountain-source		869		Meditation 
11.9	KALAHAVIVĀDA	QUARRELS AND DISPUTES	phassanidānaṁ sātaṁ asātaṁ phasse asante na bhavanti hete vibhavaṁ bhavañcāpi yametamatthaṁ etaṁ te pabrūmi itonidānaṁ	Originated from contact there are the pleasant and unpleasant. When contact is not, these do not come to be. And ‘increase and decrease’—the matter so called, I tell you that too: it originates from this.	“Pleasure and pain spring from contact; when contact is absent they do not occur. And on the topic of appearance and disappearance— I tell you they spring from there.”	“Contact is the cause of appealing &un-. When contact isn’t, they do not exist, along with what’s meant by becoming &not- : I tell you, from here is their cause.”	“The pleasant and unpleasant originate from contact; when contact does not exist, these do not come to be.  As to this matter of vanishing and coming-to-be, I tell you that it originates from this.”	“Touch”, the origination of pleasant, unpleasant, “Touch” being absent these cease to be. That which is being, non-being as well, its origin’s thus, I tell you of this.	The pleasant and the unpleasant are to contacts due; Away, they pass and vanish, if contact does not exist. Their appearance‘ and disappearance are a matter due to this; Understand thus the Sage, who their appearance and disappearance did explain.”		870		Meditation 
11.10.	KALAHAVIVĀDA	QUARRELS AND DISPUTES	phasso nu lokasmiṁ kutonidāno pariggahā cāpi kutopahūtā kismiṁ asante na mamattamatthi kismiṁ vibhūte na phusanti phassā	Contact in the world has its origin where? And also possessions, from where do they arise? When what is not, is there no ‘mineness’? When what has disappeared, do contacts not contact?	“So where does contact in the world spring from? And possessions, too, where do they come from? When what is absent is there no possessiveness? When what disappears do contacts not strike?”	“Now where is the cause of contact in the world, and from where have graspings, possessions, arisen? When what isn’t does there not exist mine-ness? When what has disappeared do contacts not touch?”	“From what in the world does contact originate? From what do possessions too arise? When what does not exist is there no taking as ‘mine’? When what has vanished do contacts not touch one?”	From what causes in the world does touch come to be And whence does possessiveness also arise? in the absence of what is “mine” making not? When what exists not are no “touches” touched?	The contacts in the wor1d——what arc they due to? The graspings of worldly objects-—how do they arise? From what we may expect ‘my-ness’ to be discounted? From what is it that there are graspings of the objects of the world?”		871		Meditation 
11.11	KALAHAVIVĀDA	QUARRELS AND DISPUTES	nāmañca rūpañca paṭicca phasso icchānidānāni pariggahāni icchāyasantyā na mamattamatthi rūpe vibhūte na phusanti phassā	Dependent on name and matter there is contact. Possessions have their origin in wanting. When wanting is not, there is no ‘mineness’. When matter has disappeared, contacts do not contact.	“Name and form cause contact; possessions spring from wishing; when wishing is absent there is no possessiveness; when form disappears, contacts don’t strike.”	“Conditioned by name-&-form is contact. In longing do graspings, possessions have their cause. When longing isn’t, mine-ness doesn’t exist. When forms have disappeared contacts don’t touch.”	“Contacts are dependent upon name and form; possessions are based on desire. When desire does not exist, there is no taking as ‘mine.’ When form has vanished, contacts do not touch one.”	“Touches” depend upon mind, upon form, possessiveness caused by longing repeated, when longing’s not found, possessiveness’s gone, When form is no longer, no “touches” are “touched”.	Because of Name and Form do the contacts arise. Because of the pleasant, do the [wordly] objects take rise; Leaving ignorance behind, is deliverance (from ‘my-ness’) gained, when [worldly] objects exist, do the contacts assail.”		872		Meditation 
11.12	KALAHAVIVĀDA	QUARRELS AND DISPUTES	kathaṁ sametassa vibhoti rūpaṁ sukhaṁ dukhañcāpi kathaṁ vibhoti etaṁ me pabrūhi yathā vibhoti taṁ jāniyāmāti me mano ahu	For one endowed in what manner does matter disappear? Ease and unease, how do they disappear? Tell me that: how it all disappears “we would like to know that”—the thought came to me.	“How to proceed so that form disappears? And how do happiness and suffering disappear? Tell me how they disappear; I think we ought to know these things.”	“For one how-arriving does form disappear? How do pleasure &pain disappear? Tell me this. My heart is set on knowing how they disappear.”	“How must one attain for form to vanish? How do pleasure and pain also vanish? Please tell me this, how they vanish. We would like to know that — such is my thought.”	For one in what state does form cease to be, how bliss and dukkha come to cease as well, please do you tell me how these come to cease? For this we would know—such is my intent.	By the attainment of what does the good form cease? WVhat is the source of all lovable things? The mind attached—how does it completely cease? Truly, methinks, to me, you [fain] would tell.”		873		Meditation 
11.13	KALAHAVIVĀDA	QUARRELS AND DISPUTES	na saññasaññī na visaññasaññī nopi asaññī na vibhūtasaññī evaṁ sametassa vibhoti rūpaṁ saññānidānā hi papañcasaṅkhā	Not perceiving perception, not perceiving an abnormal perception, not non-perceiving, not perceiving the disappeared. For one endowed in this manner, matter disappears, for tied up with perception is expanse and name.	"Without normal perception or distorted perception; not lacking perception, nor perceiving what has disappeared.  That’s how to proceed so that form disappears: for concepts of identity due to proliferation spring from perception.” 	“One not percipient of perceptions, not percipient of aberrant perceptions, not unpercipient, nor percipient of what’s disappeared: For one thus-arriving, form disappears— for objectification-classifications have their cause in perception.”	“Not percipient through perception, not percipient through disturbed perception, not altogether without perception, not percipient of what has vanished: form vanishes for one who has so attained, for concepts due to proliferation are based on perception.”	Neither one of normal perception nor yet abnormal, neither unperceiving no cessation of perception, but form ceases for one who (has known) it thus: Conceptual proliferation has perception as its cause.	Neither conscious,“ nor with consciousness of the formless, Neither unconscious, nor with consciousness inactive“. Cutting off all consciousness, detached doth one get, For, in consciousness lies the root of all that is travail."		874	 In MN 18, we have the sequence perception, thought, proliferation, then papañcasaññāsaṅkhā. This suggests that papañca causes saṅkhā, as per Bodhi.	Meditation 
11.14	KALAHAVIVĀDA	QUARRELS AND DISPUTES	yaṁ taṁ apucchimha akittayī no aññaṁ taṁ pucchāma tadiṅgha brūhi ettāvataggaṁ nu vadanti heke yakkhassa suddhiṁ idha paṇḍitāse udāhu aññampi vadanti etto	That which we asked you, you have made clear. We ask you another thing, please tell us that. Is it to that extent that some wise men here speak of the purity of the spirit? Or do they speak of something other than this?	“Whatever I asked you have explained to me.  It is, however, implied in the surmounting of 3rd jhāna. I ask you once more, please tell me this: Do some astute folk here say that this is the extent of purification of the spirit? Or do they say it is something else?”	“What we have asked, you’ve expounded to us. We ask one thing more. Please tell it. Do some of the wise say that just this much is the utmost, that purity of spirit is here? Or do they say that it’s other than this?”	“You explained to us whatever we asked you. Let us now ask something else: please tell me this.  Do some wise men here say that at this point this is the foremost purity of the spirit, or do they speak of it as different from this?”	Whatever we’ve asked of you, to us you’ve explained, another query we’d ask, please speak upon this, those reckoned as wise here, do they say that “purity of soul is just for this (life)” or do some of them state there’s another beyond?	“Whatever I have asked, all that ye have explained; Further, I question and answer do I crave. Treating all [wordly things] as nothing but saliva, and reaching the acme of success, Is he firmly settled or not as_a Victorious Saint?		875	Such as the Buddha’s former teachers, who aimed at rebirth in formless realms. See AN 10.29:20.1.	Meditation 
11.15	KALAHAVIVĀDA	QUARRELS AND DISPUTES	ettāvataggampi vadanti heke yakkhassa suddhiṁ idha paṇḍitāse tesaṁ paneke samayaṁ vadanti anupādisese kusalā vadānā	To that extent too some wise men here speak of the purity of the spirit. But then some others speak of an annihilation, speaking like masters on the ‘without remainder’.	“Some astute folk do say that this is the highest extent of purification of the spirit. But some of them, claiming to be experts, . speak of a time when nothing remains.	“Some of the wise say that just this much is the utmost, that purity of spirit is here. But some of them, who say they are skilled, say it’s the moment with no clinging remaining.	“Some wise men here say that at this point this is the foremost purity of the spirit. But some among them, claiming to be skilled, speak of an attainment without residue remaining.	Here some reckoned as wise do certainly say: “Purity of soul is just for this life”; but others who claim to be clever aver that there is an occasion for what has nothing leftover.	Rightly set is he! wrong how can he be-P Hallowed doth he become, and Wisdom’s Fruit doth he Kain-Practising the trance in the midst of the grove, The Saint doth declare, as best, [the Nirvana) with substratum none 		876	How to distinguish this from the Buddha’s teaching? If, following Bodhi, we read samaya as “attainment”, we must add in an extra layer of interpretation. If we follow Norman in accepting the (more common) sense of “time, occasion”, then the difference becomes clear: they believe that the end of things happens at some point in the future (probably at death), rather than the Buddha who spoke of realizing the truth now	Meditation 
11.16	KALAHAVIVĀDA	QUARRELS AND DISPUTES	ete ca ñatvā upanissitāti ñatvā munī nissaye so vimaṁsī ñatvā vimutto na vivādameti bhavābhavāya na sameti dhīroti	Having known these as “they are dependent” the Muni knowingly investigates into the dependency. Knowingly, he is freed and does not enter into dispute. The wise one does not intend for existence or non-existence.	Knowing that these states are dependent, and knowing what they depend on, the inquiring sage, having understood, is freed, and does not dispute. The wise do not go on into life after life.”	But knowing, ‘Having known, they still are dependent,’ the sage ponders dependencies. On knowing them, released, he doesn’t get into disputes, doesn’t meet with becoming &not- : He’s enlightened.”	“Having known these to be ‘dependent,’ and having known the dependencies, the muni, the investigator, having known, liberated, does not enter disputes; the wise one does not come upon various states of existence.”	And Knowing that these are dependent on views, having Known their dependence, the investigative Sage since Liberated Knows, so no longer disputes, the wise one goes not from being to being.	With knowledge like this and in concentration steeped, From rites and rituals, is the saint already detached; With querries that he makes, through the world doth he wade, All worldly lives he cuts oil and remains with his body (immaculate).”		877		Meditation 
12.1	CŪḶAVIYŪHA	Minor Array for Battle 	sakaṃsakaṃdiṭṭhiparibbasānā viggayha nānā kusalā vadanti yo evaṃ jānāti sa vedi dhammaṃ idaṃ paṭikkosamakevalī so	Each abiding by his own view, quarrelling the skillful say different things: “He who knows thus has understood the teaching, rejecting this one is imperfect.”	“Each maintaining their own view, the experts disagree, arguing: ‘Whoever sees it this way has understood the teaching; those who reject this are inadequate.’	“Dwelling on their own views, quarreling, different skilled people say: ‘Whoever knows this, understands Dhamma. Whoever rejects this, is imperfect.’	“Settled each in his own view, contending, the skilled make diverse assertions: ‘One who knows this has understood the Dhamma; rejecting this, one is not consummate.’	Each attached to their own views, They dispute, and the experts say, “Whoever knows this understands the Dhamma, Whoever rejects it is imprefect.”	Each one thinks that he also knows, and' Victory to score, wisely doth he say : Able to know this Law full well, “ Round I go and seek knowledge, no narrow		878	Chinese diff	disputes 
12.2	CŪḶAVIYŪHA	Minor Array for Battle 	evampi viggayha vivādayanti bālo paro akkusaloti cāhu sacco nu vādo katamo imesaṃ sabbeva hīme kusalā vadānā	Thus quarrelling, they dispute and they say “the other is an unskillful fool”. The true speech is which one among them, for all these are claiming to be skillful?	So arguing, they quarrel, saying, ‘The other is a fool, an amateur!’ Which one of these speaks true, for they all claim to be an expert?”	Thus quarreling, they dispute: ‘My opponent’s a fool &unskilled.’ Which of these statements is true when all of them say they are skilled?”	“Having contended thus, they dispute and say: ‘The opponent is a fool, unskilled.’ Which assertion among these is truthful, for they all claim to be skilled?”	Arguing like this, they disagree, saying “My opponent is a fool, and is no expert” Which of these doctrines is the truth, Since all of them say they are experts?	Following this course, [hot words] do the [heretics] exchange, Hold others as fools and themselves passing wise. - Of boastssuch as these, which, as truthful, do ye claim? Great experts, themselves,][surely] all do they claim to be!		879		disputes 
12.3	CŪḶAVIYŪHA	Minor Array for Battle 	parassa ce dhammamanānujānaṃ bālomako hoti nihīnapañño sabbeva bālā sunihīnapaññā sabbevime diṭṭhiparibbasānā	If by not approving another’s teaching one is a stupid fool inferior in intelligence, then all are fools of very inferior intelligence for all of these are abiding by views.	“If not accepting another’s teaching makes you a useless fool lacking wisdom,  then they’re all fools lacking wisdom, for they all maintain their own view.	“If, in not accepting an opponent’s doctrine, one’s a fool, a beast of inferior discernment, then all are fools of inferior discernment— all of these who dwell on their views.	“If one who does not affirm the opponent’s doctrine is thereby a fool, a brute, deficient in wisdom, all indeed are fools, utterly deficient in wisdom: for all these are settled in their views.	If by not accepting another’s teaching One became a fool of debased wisdom Then, honestly, all are fools of debased wisdom, Since all are attached to views.	They not knowing whether others are, in Law, established or not, Render themselves ignorant fools, led by the cunning of others. Thus, in darkness do they toil, from cleverness apart; The heresies [diverse],,do they harbour [in their heart],		880		disputes 
12.4	CŪḶAVIYŪHA	Minor Array for Battle 	sandiṭṭhiyā ceva na vīvadātā saṃsuddhapaññā kusalā mutīmā na tesaṃ koci parihīnapañño diṭṭhī hi tesampi tathā samattā	But if by their own view they are cleansed, purified in wisdom, skillful and thoughtful, then none of them is lacking in wisdom, for that is the way their view has been assumed.	But if having your own view is what makes you pristine— pure in wisdom, expert and intelligent— then none of them lack wisdom, for such is the view they have all embraced.	But if, in siding with a view, one’s cleansed, with discernment made pure, sensible, skilled, then none of them are of inferior discernment, for all of them have their own views.	“But if by their own view they are cleansed, pure in wisdom, skilled, intelligent, there is none among them defective in wisdom, for their views are similarly taken up.	But if people are washed by their own views, With pure wisdom, experts, thoughtful, Then none of them has debased wisdom, For their views are perfect.	With heresies of old, do they act and say That wise, as well as pure, and mindful are they; Of them, none expects to be of wisdom deprived, For, such are they all to heresies consigned.		881		disputes 
12.5	CŪḶAVIYŪHA	Minor Array for Battle 	na vāhametaṃ tathiyanti brūmi yamāhu bālā mithu aññamaññaṃ sakaṃ sakaṃ diṭṭhimakaṃsu saccaṃ tasmā hi bāloti paraṃ dahanti	I do not say that it is true what fools say mutually about each other. They have each made their own view to be true; therefore they hold another to be “a fool”.	I do not say that it is correct when they call each other fools. Each has built up their own view to be the truth,  which is why they take the other as a fool.”	I don’t say, ‘That’s how it is,’ the way fools tell one another. They each make out their views to be true and so regard their opponents as fools.”	“I do not say, ‘This is correct,’ as the fools in pairs say to one another. They all take their own view to be true; therefore they consider the opponent a fool.”	I don’t say, “This is how it is”, Like the fools who oppose each other. Each of them makes out that their view is the truth, So they treat their opponent as a fool.	All this, above, as truth do I not accept-This, which the fools say, of mutual concern. Their own views, alone, as truthful do they claim, And thhse of others, as foolish, are they [sure to] declaim		882	Sujato think “this is correct” refers, not to the assertion of a view, but to the assertion that the other is a fool. Niddesa takes it to mean the assertion of one of the 62 views, but this seems to be reading into the text. It might mean that the Buddha does not make dogmatic assertions; but on the face of it, the Buddha is constantly saying that his teaching is correct. It is the four noble truths, after all	disputes 
12.6	CŪḶAVIYŪHA	Minor Array for Battle 	yamāhu saccaṃ tathiyanti eke tamāhu aññe tucchaṃ musāti evampi viggayha vivādayanti kasmā na ekaṃ samaṇā vadanti	What some call “true and real”, of that others say “empty and false”— in this way too they quarrel and dispute; why do recluses not say one thing?	“What some say is true and correct, others say is hollow and false. So arguing, they quarrel; why don’t ascetics say the same thing?”	“What some say is true —’That’s how it is’— others say is ‘falsehood, a lie.’ Thus quarreling, they dispute. Why can’t contemplatives say one thing &the same?”	“That which some say is ‘true, correct,’ others say is ‘hollow, false.’ Having contended thus, they dispute. Why don’t ascetics speak in unison?”	What some say is the truth, Others say is false. So they argue, disagreeing; Why don’t the ascetics teach one truth?	Their Law that they declare as surpassing and unequalled Is nothing but empty, which greedy heretics come to -steal. Having entered’ darkness, they go on rolling into the same. Why do not these asceticsdeclare one and one Truth (lit. Path:)alone?		883		disputes 
12.7	CŪḶAVIYŪHA	Minor Array for Battle 	ekaṃ hi saccaṃ na dutīyamatthi yasmiṃ pajā no vivade pajānaṃ nānā te saccāni sayaṃ thunanti tasmā na ekaṃ samaṇā vadanti	One is the truth, there is no second, about which people who understand should not quarrel. Different are the truths they praise each for himself. Therefore recluses do not say one thing.	“The truth is one, there is no second; wise folk would not argue about this. With these lines the Buddha dismisses subjectivist notions of truth. But those ascetics each boast of different truths; that’s why they don’t say the same thing.”	“The truth is one, there is no second about which a person who knows it would argue with one who knows. Contemplatives promote their various own truths, that’s why they don’t say one thing &the same.”	“Truth, indeed, is one — there is no second; a person who understands this would not dispute. These proclaim their own diverse truths; therefore ascetics do not speak in unison.”	Indeed the truth is one, there’s not another, about this the One who Knows does not dispute with another, but the Samaṇas proclaim their varied “truths” and so they speak not in the same way.	There is one Truth perfect ( i ). having none - - I as second ; Knowing this Truth, the people would not pervert Truths diverse, as they please, they [always] proclaim; That is why the ascetics never do one Truth declare.		884	see MN 22 and AN 10:93, Snp 4.8	disputes 
12.8	CŪḶAVIYŪHA	Minor Array for Battle 	kasmā nu saccāni vadanti nānā pavādiyāse kusalā vadānā saccāni sū tāni bahūni nānā udāhu te takkamanussaranti	Why do they proclaim different truths loud-voicedly proclaiming to be skillful? Are there truly many different truths, or are they going by their own thinking?	“But why do they speak of different truths, these proponents who claim to be experts? Are there really so many different truths,  or do they just follow their own lines of reasoning?”	“But why do they say various truths, those who say they are skilled? Have they learned many various truths or do they follow conjecture?”	“But why do they assert diverse truths, those proponents who claim to be skilled? Are those truths actually many and diverse, or do they follow a line of reasoning?”	Why do they speak such varied truths, these so-called experts disputatious— Are there really many and various truths Or do they just rehearse their logic?	What truth is it which others [can] not say, Which, with faith, will they all declare? The various other truths, from where have they [heard]  From where do the speculations of theirs arise?		885		disputes 
12.9	CŪḶAVIYŪHA	Minor Array for Battle 	na heva saccāni bahūni nānā aññatra saññāya niccāni loke takkañca diṭṭhīsu pakappayitvā saccaṃ musāti dvayadhammamāhu	The many different truths are not indeed permanent, except by being taken so in the world. Forming thoughts about the views they speak in terms of the duality “true and false”.	“No, there are not many different truths that, apart from perception, are lasting in the world.  Having formed their reasoning regarding different views, they say there are two things: true and false.	“Apart from their perception there are no many various constant truths in the world. Theorizing conjectures with regard to views, they speak of a pair: true&false.	“Truths surely are not many and diverse, except by [mistakenly] perceiving permanent things in the world. But having formulated reasoning about views, they assert the dyad ‘true’ and ‘false.’	Indeed, there are not many and varied truths differing from perception of the ever-true in the world; but they work upon their views with logic: “Truth! Falsehood!” So they speak in dualities.	Truth with counterpart none, why do they say as many? Due to various conceptions it is classified and distinguished. To what their eyes have seen do they apply their fancy, And thus results the duality of ‘truth “ and falsehood’.		886	Sujato think the allusion is, rather, to the idea of dhammaniyāmatā, the “ﬁxity” or “regularity” of the Dhamma as an “eternal truth”.	disputes 
12.10.	CŪḶAVIYŪHA	Minor Array for Battle 	diṭṭhe sute sīlavate mute vā ete ca nissāya vimānadassī vinicchaye ṭhatvā pahassamāno bālo paro akkusaloti cāha	The seen, the heard, the thought or virtue and practice, dependent upon these he shows contempt. Standing on judgement he laughs and says: “The other is an unskillful fool!”	The seen, heard, or thought, or precepts or vows based on these they show disdain. Standing in judgment, they scoff, saying, ‘The other is a fool, an amateur!’	Dependent on what’s seen, heard, &sensed, dependent on habits &practices, one shows disdain [for others]. Taking a stance on his decisions, praising himself, he says, ‘My opponent’s a fool &unskilled.’	“The seen, heard, good behavior and observances, the sensed — dependent on these, he shows disdain. Based on a judgment, derisive, he says: ‘The opponent is a fool, unskilled.’	Based on what is seen, heard, On precepts and vows, or what is cognized, They look down on others. Convinced of their own theories, pleased with themselves, They say, “My opponent is a fool, no expert.”	To what they have heard, seen, practised and believed in, Theyiwget attached and wish to skilfully parry and argue their views. In their decisions firm, they view, what a shame. Others, and hold them as nothing but fools.		887		disputes 
12.11	CŪḶAVIYŪHA	Minor Array for Battle 	yeneva bāloti paraṃ dahāti tenātumānaṃ kusaloti cāha sayamattanā so kusalāvadāno aññaṃ vimāneti tadeva pāva	That by which he holds another to be “a fool” by that he calls himself “skillful”. By himself he claims himself to be skillful, despises the other and speaks accordingly.	They take the other as a fool on the same grounds, that they speak of themselves as an expert. Claiming to be an expert on their own authority, they disdain the other while saying the same thing.	That by which he regards his opponents as fools is that by which he says he is skilled. Calling himself skilled, he despises another who speaks the same way.	“As he considers the opponent a fool, on the same ground he describes himself as ‘skilled.’ Of his own accord, claiming himself skilled, he disdains the other, yet speaks in the same way.	They consider themselves expert for the same reasons That they despise their opponent as a fool. Calling themselves experts, they despise the other, Yet they speak the very same way.	That very count which makes one think of others as fools-— That [self-] esteem makes an expert of himself, Then he considers and speaks of himself as an expert, And in disputes, with contempt, at others he doth look.		888		disputes 
12.12	CŪḶAVIYŪHA	Minor Array for Battle 	atisāradiṭṭhiyāva so samatto mānena matto paripuṇṇamānī sayameva sāmaṃ manasābhisitto diṭṭhī hi sā tassa tathā samattā	Going to excess in his view he is ‘perfect’, intoxicated with conceit he thinks himself to be complete. By himself he has crowned himself in his own mind, for that is the way his view has been assumed.	They are perfect, according to their own extreme view; drunk on conceit, imagining themselves proficient. They have anointed themselves in their own mind, for such is the view they have embraced.	Agreeing on a view gone out of bounds, drunk with conceit, imagining himself perfect, he has consecrated, with his own mind, himself as well as his view.	“Inflated by that extremist view, intoxicated with conceit, thinking himself perfect, on his own accord he has mentally anointed himself, for that view of his is taken up in such a manner.	And since perfected in some extreme view, puffed with pride and maddened by conceit, he anoints himself as though the master-mind, likewise thinking his view’s perfected too.	With false views full, he expects honour befitting a Master. With cunning full and with pride bubbling in the extreme, Always, of words he is afraid, and he dares not draw near; ‘Conduct I ever observe'—such heresy is his crown		889		disputes 
12.13	CŪḶAVIYŪHA	Minor Array for Battle 	parassa ce hi vacasā nihīno tumo sahā hoti nihīnapañño atha ce sayaṃ vedagū hoti dhīro na koci bālo samaṇesu atthi	If through another’s word one is inferior, then along with him one is oneself inferior in intelligence. But if, on the other hand, by oneself one is a knower, a wise man, then there is no fool among recluses.	If the word of your opponent makes you deficient, then they too are lacking wisdom. But if on your own authority you’re a knowledge master, a wise person, This must refer back to the previous verse, where sayaṁ means “on one’s own account”. then there are no fools among the ascetics.	If, by an opponent’s word, one’s inferior, the opponent’s of inferior discernment as well. But if, by one’s own word one’s an attainer-of-knowledge, enlightened, no one among contemplatives is a fool.	“If one is deficient because of the opponent’s word, the opponent himself is similarly deficient in wisdom. But if he is himself a master of knowledge, a wise man, then there is no fool among ascetics.	If their opponent says they are deficient, They too are of deficient understanding. But if they are wise and knowledgeable, Then there are no fools among the ascetics.	Others’ truths he thinks as wrongly and shamefully entertained, While his own views he doth carry shamefully [but] ' skilfully guarded ; If by all what one knows. a man of skill is to be distinguished, Then, afool will there be none, and one would meet [only] the practitioners of skill.		890		disputes 
12.14	CŪḶAVIYŪHA	Minor Array for Battle 	aññaṃ ito yābhivadanti dhammaṃ aparaddhā suddhimakevalī te evampi titthyā puthuso vadanti sandiṭṭhirāgena hi tebhirattā	“They who proclaim a teaching other than this have failed to reach purity and are imperfect.” Thus sectarians individually speak inflamed with passion for their view.	‘Those who proclaim a teaching other than this have fallen short of purity, and are inadequate’: so say each one of the sectarians, for they are deeply attached to their own view.	‘Those who approve of a doctrine other than this are lacking in purity, imperfect.’ That’s what the many sectarians say, for they’re smitten with passion for their own views.	“Those who assert a teaching different from this to be defective have failed to reach purity: thus the sectarians speak in separate ways, for they are attached to their own views.	“Anyone who teaches a doctrine other than this, Has fallen short of purity and perfection.” This is what followers of other paths say, Passionately defending their very different views.	the various practices, the heretics [may] an understanding of purity attain, And though they may be pure, perfection do they not reach. The heretics thus hear of security and peace,‘ wherein being lodged, Themselves, with greed, get firmly attached to what they have believed in		891		disputes 
12.15	CŪḶAVIYŪHA	Minor Array for Battle 	idheva suddhi iti vādayanti nāññesu dhammesu visuddhimāhu evampi titthyā puthuso niviṭṭhā sakāyane tattha daḷhaṃ vadānā	“Here alone there is purity,” they say, they do not speak of purity in other teachings. Thus too sectarians are individually entrenched, speaking firmly about their own system in that respect.	‘Here alone is purity,’ they say, denying that there is purification in other teachings. Thus each one of the sectarians, being dogmatic, speaks forcefully within the context of their own journey.	‘Only here is there purity,’ that’s what they say. ‘In no other doctrine is purity,’ they say. That’s how the many sectarians are entrenched, speaking firmly there concerning their own path.	“‘Here only is purity’ they assert; they say there is no purification in other teachings. Thus, too, the sectarians, separately entrenched, firmly assert their own way there.	“Here alone is purity,” so they say, “There is no purity in the teachings of others.” This is what followers of other paths strongly assert, Each entrenched in their own different path.	This is" the Truth’-thus they cherish and proclaim. Pure are all the doctrines which they themselves do maintain-Thus they [firmly] grasp, get restless and [hot words] do exchange, And because of themselves and by corruptions clutched, do they come-to grief!		892		disputes 
12.16	CŪḶAVIYŪHA	Minor Array for Battle 	sakāyane vāpi daḷhaṃ vadāno kamettha bāloti paraṃ daheyya sayaṃva so medhagamāvaheyya paraṃ vadaṃ bālamasuddhidhammaṃ	Then, in this respect, how could one call another “a fool”? He himself would bring conflict to himself if he called another a fool with an impure teaching.	But in that case, so long as they are speaking forcefully of their own journey, how can they take the other as a fool? They are the ones who provoke conflict when they call the other a fool with an impure teaching.	Speaking firmly concerning your own path, what opponent here would you take as a fool? You’d simply bring strife on yourself if you said your opponent’s a fool with an impure doctrine.	“Asserting firmly his own way, what opponent here could one consider a fool? He himself would just provoke strife by calling his opponent a fool of impure character.	Strongly asserting their own path, What opponent would they take to be a fool? They would only bring trouble on themselves By calling an opponent a fool of impure teachings.	Himself ‘firmly attached, with greed, to his beliefs all guarded, How can he maintain of others as ‘nothing but fools"? And although the Law doth he preach, of purity he is innocent; Counts himself, with great esteem, perched high up		893		disputes 
